request,title,winner,description,publisher
"항상 사무실에서 가장 먼저 전화를 받는 사람에게 상을 주고 싶어.","전화 응답왕상","김전화","항상 전화가 울리기 무섭게 먼저 받아내는 그의 빠른 대처 능력을 칭찬하기 위해 이 상을 수여합니다.","빠른 대응 전문가 협회"
"항상 업무를 먼저 시작하는 사람에게 상을 주고 싶어.","업무 선발대상","박선행","언제나 남들보다 먼저 업무를 시작하며 앞서 나가는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","선도적 직장인 모임"
"항상 사무실 창문을 열어 환기를 시키는 사람에게 상을 주고 싶어.","환기 마스터상","최공기","사무실의 신선한 공기를 책임지는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","쾌적한 사무실 협회"
"항상 문서의 꼼꼼한 검토를 맡아주는 사람에게 상을 주고 싶어.","문서 검토왕상","정문서","항상 중요한 문서들을 빠짐없이 검토하며 오류를 잡아내는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","완벽한 문서 검토팀"
"항상 팀의 회의를 정리하는 사람에게 상을 주고 싶어.","회의 요약자상","요약왕","회의의 복잡한 내용을 간단하게 정리해 팀원들에게 도움을 주는 그의 요약 실력을 칭찬하기 위해 이 상을 수여합니다.","효율적 회의팀"
"항상 동료의 컴퓨터 문제를 해결해주는 사람에게 상을 주고 싶어.","IT 해결사상","컴왕","사무실 내 IT 문제를 척척 해결해주는 그의 능력을 칭찬하기 위해 이 상을 수여합니다.","IT 지원팀"
"항상 팀원들에게 작은 선물을 준비하는 사람에게 상을 주고 싶어.","깜짝 선물왕상","박서프","작은 선물로 팀원들에게 기쁨을 주는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","서프라이즈 협회"
"항상 일찍 출근하는 사람에게 상을 주고 싶어.","새벽 출근자상","일찍도착","항상 사무실에 일찍 도착해 남들보다 먼저 하루를 시작하는 그의 성실함을 칭찬하기 위해 이 상을 수여합니다.","일찍 출근 모임"
"항상 사무실 냉장고를 깔끔하게 정리하는 사람에게 상을 주고 싶어.","냉장고 정리왕상","김정리","사무실 냉장고를 깔끔하게 정리하며 모두를 편안하게 해주는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","정리의 달인 협회"
"항상 노트북을 가지고 다니는 사람에게 상을 주고 싶어.","노트북 마니아상","박노트","항상 노트북을 챙기며 언제 어디서나 업무를 처리하는 그의 준비성을 칭찬하기 위해 이 상을 수여합니다.","모바일 워크포스 협회"
"항상 팀원들의 야근을 대신해주는 사람에게 상을 주고 싶어.","야근 천사상","이야근","동료들의 야근을 자발적으로 대신해주는 그의 헌신을 칭찬하기 위해 이 상을 수여합니다.","야근 지킴이 협회"
"항상 팀원들의 사진을 찍어주는 사람에게 상을 주고 싶어.","포토그래퍼상","사진왕","항상 팀의 기억을 사진으로 남기며 추억을 기록하는 그의 감각을 칭찬하기 위해 이 상을 수여합니다.","사내 사진작가 모임"
"항상 팀원들에게 기프티콘을 보내는 사람에게 상을 주고 싶어.","기프티콘 나눔왕상","김기프","작은 선물로 팀원들에게 따뜻한 마음을 전하는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","기프티콘 장려회"
"항상 팀의 분위기를 부드럽게 만드는 사람에게 상을 주고 싶어.","분위기 메이커상","분위기왕","사무실 내 긍정적인 분위기를 주도하며 모두를 웃게 만드는 그의 유쾌함을 칭찬하기 위해 이 상을 수여합니다.","사내 분위기 관리 협회"
"항상 사무실에서 화분을 관리하는 사람에게 상을 주고 싶어.","화분 가드너상","박화분","사무실 화분을 관리하며 쾌적한 환경을 유지하는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","사무실 환경 관리팀"
"항상 팀원들의 건강을 챙기는 사람에게 상을 주고 싶어.","건강 지킴이상","박건강","항상 팀원들의 건강을 걱정하며 챙겨주는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","건강한 직장 협회"
"항상 사무실에서 에너지를 절약하는 사람에게 상을 주고 싶어.","에너지 절약왕상","최에코","사무실에서 에너지를 아끼며 환경 보호에 앞장서는 그의 실천을 칭찬하기 위해 이 상을 수여합니다.","친환경 사무실 협회"
"항상 팀원들에게 업무 노하우를 전수하는 사람에게 상을 주고 싶어.","노하우 전달자상","이노하우","자신의 업무 노하우를 아낌없이 공유하며 팀의 발전을 돕는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","지식 공유 모임"
"항상 사무실 문을 처음 여는 사람에게 상을 주고 싶어.","문 열기 선발대상","김문열","사무실 문을 가장 먼저 열며 새로운 하루를 시작하는 그의 부지런함을 칭찬하기 위해 이 상을 수여합니다.","아침 일찍 출근 협회"
"항상 팀원들에게 다과를 제공하는 사람에게 상을 주고 싶어.","다과 배달왕상","정다과","사무실에서 간식을 나누어주며 모두의 에너지를 채워주는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","다과 나눔 협회"
"항상 일정 관리를 철저히 하는 사람에게 상을 주고 싶어.","일정 관리왕상","김일정","일정을 철저히 관리하며 팀이 시간을 효율적으로 사용할 수 있도록 돕는 그의 체계성을 칭찬하기 위해 이 상을 수여합니다.","시간 관리 전문가 협회"
"항상 사무실에서 음악을 추천하는 사람에게 상을 주고 싶어.","음악 큐레이터상","박음악","팀원들에게 분위기 좋은 음악을 추천해주며 업무 분위기를 활기차게 만드는 그의 센스를 칭찬하기 위해 이 상을 수여합니다.","음악 추천 모임"
"항상 차를 타고 출근하는 사람에게 상을 주고 싶어.","출퇴근 운전자상","운전왕","항상 차를 운전해 출근하며 누구보다 일찍 사무실에 도착하는 그의 성실함을 칭찬하기 위해 이 상을 수여합니다.","자차 출퇴근 모임"
"항상 팀원들의 생일을 챙기는 사람에게 상을 주고 싶어.","생일 플래너상","이생일","항상 팀원들의 생일을 잊지 않고 챙기며 모두에게 따뜻한 마음을 전달하는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","사내 생일 축하 모임"
"항상 점심 메뉴를 결정해주는 사람에게 상을 주고 싶어.","메뉴 결정자상","박메뉴","팀원들에게 매일 점심 메뉴를 추천하며 선택의 부담을 덜어주는 그의 결단력을 칭찬하기 위해 이 상을 수여합니다.","점심 메뉴 추천 위원회"
"항상 회의실을 가장 먼저 예약하는 사람에게 상을 주고 싶어.","회의실 선점왕상","최예약","회의실을 남들보다 먼저 예약하며 팀의 회의 일정을 효율적으로 관리하는 그의 추진력을 칭찬하기 위해 이 상을 수여합니다.","효율적 회의 예약 모임"
"항상 팀의 제안서를 완벽하게 작성하는 사람에게 상을 주고 싶어.","제안서 장인상","제안왕","팀을 위한 완벽한 제안서를 작성해 업무의 성공을 이끄는 그의 꼼꼼함을 칭찬하기 위해 이 상을 수여합니다.","제안서 작성 전문가 협회"
"항상 팀원들의 불만을 경청하는 사람에게 상을 주고 싶어.","불만 경청왕상","이경청","항상 동료들의 불만을 경청하며 그들의 감정을 이해하고 지지하는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","사내 경청 위원회"
"항상 사무실에서 기분 좋은 향기를 뿌리는 사람에게 상을 주고 싶어.","향기 전도사상","향기왕","사무실에 기분 좋은 향기를 퍼뜨려 모두의 기분을 상쾌하게 해주는 그의 감각을 칭찬하기 위해 이 상을 수여합니다.","향기로운 사무실 모임"
"항상 사무실 비밀번호를 기억해주는 사람에게 상을 주고 싶어.","비밀번호 수호자상","김비번","사무실의 중요한 비밀번호를 모두 외우며 팀원들의 업무를 편리하게 만들어주는 그의 기억력을 칭찬하기 위해 이 상을 수여합니다.","비밀번호 관리 협회"
"항상 동료들에게 유용한 기사를 공유하는 사람에게 상을 주고 싶어.","기사 큐레이터상","기사왕","팀원들에게 유용한 정보와 기사를 꾸준히 공유하며 업무에 도움을 주는 그의 정보력을 칭찬하기 위해 이 상을 수여합니다.","정보 공유 전문가 모임"
"항상 책상 위를 깨끗이 유지하는 사람에게 상을 주고 싶어.","책상 정리왕상","정책상","항상 책상 위를 깔끔하게 유지하며 쾌적한 업무 환경을 제공하는 그의 깔끔함을 칭찬하기 위해 이 상을 수여합니다.","정리 정돈 전문가 협회"
"항상 업무 메일에 답장을 빠르게 보내는 사람에게 상을 주고 싶어.","신속 답장자상","답장왕","항상 업무 메일에 신속하게 답장을 보내며 커뮤니케이션을 원활하게 돕는 그의 빠른 대처 능력을 칭찬하기 위해 이 상을 수여합니다.","신속한 소통 전문가 협회"
"항상 팀원들에게 업무 힌트를 주는 사람에게 상을 주고 싶어.","힌트 제공자상","힌트왕","업무에 도움이 되는 힌트를 제공해 팀의 성공을 돕는 그의 통찰력을 칭찬하기 위해 이 상을 수여합니다.","업무 힌트 전문가 모임"
"항상 사무실에서 가장 많이 타자를 치는 사람에게 상을 주고 싶어.","타자왕상","타자왕","사무실에서 누구보다 빠르게 타자를 치며 업무 효율성을 높이는 그의 타자 실력을 칭찬하기 위해 이 상을 수여합니다.","사내 타자왕 모임"
"항상 업무 마감일을 지키는 사람에게 상을 주고 싶어.","마감일 준수자상","이마감","항상 모든 업무 마감일을 철저히 지키며 팀의 신뢰를 쌓는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","프로젝트 마감 전문가 협회"
"항상 업무 관련 책을 가장 먼저 읽는 사람에게 상을 주고 싶어.","독서 선구자상","선구자왕","팀에서 업무 관련 책을 가장 먼저 읽으며 지식을 쌓는 그의 학구열을 칭찬하기 위해 이 상을 수여합니다.","사내 독서 장려팀"
"항상 팀원들에게 실수를 용서해주는 사람에게 상을 주고 싶어.","실수 용서자상","이용서","동료들의 실수를 너그럽게 용서하며 사내 분위기를 편안하게 만드는 그의 관대함을 칭찬하기 위해 이 상을 수여합니다.","사내 용서 장려회"
"항상 팀원들에게 웃음을 주는 사람에게 상을 주고 싶어.","웃음 전도사상","이웃음","항상 팀원들에게 웃음을 선사하며 밝은 분위기를 만드는 그의 유머 감각을 칭찬하기 위해 이 상을 수여합니다.","유쾌한 사무실 만들기 협회"
"항상 팀의 경비를 절약해주는 사람에게 상을 주고 싶어.","경비 절약왕상","박절약","항상 회사 경비를 아끼며 팀의 재정을 효율적으로 관리하는 그의 경제적 사고를 칭찬하기 위해 이 상을 수여합니다.","경비 절감 전문가 모임"
"항상 사무실에 가장 늦게까지 남는 사람에게 상을 주고 싶어.","사무실 지킴이상","지킴왕","항상 사무실에 늦게까지 남아 마지막까지 업무를 완수하는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","사무실 마감 팀"
"항상 회식에서 분위기를 띄우는 사람에게 상을 주고 싶어.","회식 분위기 메이커상","최회식","회식 자리에서 모두를 즐겁게 만들며 분위기를 띄우는 그의 유쾌함을 칭찬하기 위해 이 상을 수여합니다.","즐거운 회식 만들기 모임"
"항상 팀원들에게 창의적인 아이디어를 제공하는 사람에게 상을 주고 싶어.","창의력 천재상","이창의","팀의 발전을 위해 창의적인 아이디어를 아낌없이 제공하는 그의 상상력을 칭찬하기 위해 이 상을 수여합니다.","창의적 직장인 모임"
"항상 팀원들의 사소한 요청을 잊지 않고 챙기는 사람에게 상을 주고 싶어.","사소한 배려왕상","배려왕","작은 요청도 잊지 않고 챙기며 동료들에게 세심한 배려를 보여주는 그의 마음씨를 칭찬하기 위해 이 상을 수여합니다.","사소한 배려 장려회"
"항상 사무실에서 모니터를 가장 깔끔하게 유지하는 사람에게 상을 주고 싶어.","모니터 청결왕상","김모니터","항상 자신의 모니터를 깨끗하게 유지하며 청결한 업무 환경을 만드는 그의 깔끔함을 칭찬하기 위해 이 상을 수여합니다.","청결한 사무실 유지팀"
"항상 팀원들에게 긍정적인 피드백을 제공하는 사람에게 상을 주고 싶어.","긍정 피드백상","이긍정","팀원들에게 긍정적인 피드백을 아낌없이 제공하며 사기를 높이는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","긍정적 피드백 장려회"
"항상 사무실에서 커피 머신을 관리하는 사람에게 상을 주고 싶어.","커피 머신 관리자상","김커피","사무실 커피 머신을 꼼꼼히 관리하며 모두에게 커피를 제공하는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","커피 애호가 모임"
"항상 팀원들에게 좋은 책을 추천하는 사람에게 상을 주고 싶어.","책 추천자상","이책","팀원들에게 유익한 책을 꾸준히 추천하며 지식의 폭을 넓히는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","사내 독서 추천팀"
"항상 사무실의 조명을 끄고 나가는 사람에게 상을 주고 싶어.","조명 수호자상","최조명","사무실의 마지막 퇴근자로서 항상 조명을 끄고 나가는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","사무실 마감 전문가 모임"
"항상 팀원들의 의견을 수용하는 사람에게 상을 주고 싶어.","의견 수용자상","김수용","팀원들의 다양한 의견을 열린 마음으로 받아들이며 협력하는 그의 유연함을 칭찬하기 위해 이 상을 수여합니다.","의견 수용 장려회"
"항상 사무실에서 새로운 기술을 먼저 시도하는 사람에게 상을 주고 싶어.","신기술 선구자상","이신기","새로운 기술을 가장 먼저 시도하며 업무 효율성을 높이는 그의 도전 정신을 칭찬하기 위해 이 상을 수여합니다.","신기술 도입 전문가 모임"
"항상 팀원들에게 좋은 식당을 추천하는 사람에게 상을 주고 싶어.","맛집 추천왕상","최맛집","팀원들에게 맛있는 식당을 추천하며 점심 시간을 즐겁게 만드는 그의 센스를 칭찬하기 위해 이 상을 수여합니다.","맛집 탐방 협회"
"항상 가족의 아침을 책임지는 사람에게 상을 주고 싶어.","아침 요리왕상","박아침","매일 가족의 아침을 준비하며 따뜻한 시작을 선물하는 그의 정성을 칭찬하기 위해 이 상을 수여합니다.","가족 요리 협회"
"항상 가족의 건강을 챙기는 사람에게 상을 주고 싶어.","건강 지킴이상","최건강","가족의 건강을 세심하게 챙기며 모두가 건강하게 지낼 수 있도록 하는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","가족 건강 관리 협회"
"항상 아이들과 놀아주는 사람에게 상을 주고 싶어.","놀이 친구상","김놀이","아이들과 시간을 보내며 그들의 웃음을 만들어내는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","가족 놀이 전문가 모임"
"항상 가족의 생일을 잊지 않고 챙기는 사람에게 상을 주고 싶어.","생일 챙김왕상","이생일","가족의 생일을 잊지 않고 축하하며 특별한 날을 만들어주는 그의 기억력을 칭찬하기 위해 이 상을 수여합니다.","가족 이벤트 기획팀"
"항상 가족의 외식을 주도하는 사람에게 상을 주고 싶어.","외식 리더상","박외식","가족 외식을 주도하며 모두가 즐거운 시간을 보낼 수 있도록 하는 그의 센스를 칭찬하기 위해 이 상을 수여합니다.","가족 외식 전문가 협회"
"항상 가족에게 유머를 전하는 사람에게 상을 주고 싶어.","가족 웃음 전도사상","김웃음","가족에게 밝은 웃음을 전하며 집안을 활기차게 만드는 그의 유머 감각을 칭찬하기 위해 이 상을 수여합니다.","가족 웃음 치료 협회"
"항상 집안일을 먼저 도와주는 사람에게 상을 주고 싶어.","집안일 도우미상","이도우","집안일을 가장 먼저 나서서 도와주는 그의 성실함과 책임감을 칭찬하기 위해 이 상을 수여합니다.","가족 가사 분담 모임"
"항상 가족의 저녁 식사를 준비하는 사람에게 상을 주고 싶어.","저녁 요리왕상","박저녁","가족을 위해 매일 저녁 식사를 준비하며 풍성한 식탁을 차리는 그의 요리 실력을 칭찬하기 위해 이 상을 수여합니다.","가족 요리 마스터 협회"
"항상 가족과 함께 시간을 보내는 사람에게 상을 주고 싶어.","가족 시간왕상","김가족","가족과 함께 보내는 시간을 소중히 여기며 사랑을 나누는 그의 헌신을 칭찬하기 위해 이 상을 수여합니다.","가족 시간 관리 전문가 협회"
"항상 가족에게 좋은 책을 추천하는 사람에게 상을 주고 싶어.","독서 추천자상","이책","가족에게 유익한 책을 추천하며 지식의 나눔을 실천하는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","가족 독서 장려회"
"항상 가족의 자동차를 관리하는 사람에게 상을 주고 싶어.","자동차 관리왕상","최자동차","가족의 자동차를 꼼꼼히 관리하며 안전한 운행을 책임지는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","가족 차량 관리 전문가 협회"
"항상 가족 여행을 계획하는 사람에게 상을 주고 싶어.","여행 기획자상","박여행","가족 여행을 철저히 기획해 모두가 즐거운 추억을 쌓을 수 있도록 하는 그의 기획 능력을 칭찬하기 위해 이 상을 수여합니다.","가족 여행 전문가 모임"
"항상 가족의 일정을 조율하는 사람에게 상을 주고 싶어.","일정 조율왕상","김일정","가족의 일정을 조율하며 모두가 원활하게 시간을 맞출 수 있도록 돕는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","가족 일정 관리 협회"
"항상 가족의 스트레스를 풀어주는 사람에게 상을 주고 싶어.","스트레스 해소왕상","이스트레스","가족의 스트레스를 풀어주는 방법을 찾아주며 모두를 편안하게 만드는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","가족 힐링 전문가 모임"
"항상 가족의 세탁물을 관리하는 사람에게 상을 주고 싶어.","세탁왕상","최세탁","가족의 세탁물을 깔끔하게 관리하며 모두의 옷을 책임지는 그의 깔끔함을 칭찬하기 위해 이 상을 수여합니다.","가족 세탁 전문가 모임"
"항상 가족의 식료품을 장보는 사람에게 상을 주고 싶어.","장보기 마스터상","박장보기","가족을 위해 필요한 식료품을 빠짐없이 구입해 풍족한 식탁을 준비하는 그의 꼼꼼함을 칭찬하기 위해 이 상을 수여합니다.","가족 장보기 전문가 협회"
"항상 가족의 숙제를 도와주는 사람에게 상을 주고 싶어.","숙제 도우미상","김숙제","가족의 숙제를 도와주며 학습의 성취를 돕는 그의 인내심과 헌신을 칭찬하기 위해 이 상을 수여합니다.","가족 학습 도우미 협회"
"항상 가족의 웃음을 책임지는 사람에게 상을 주고 싶어.","웃음 메이커상","박웃음","가족에게 끊임없는 웃음을 선사하며 집안을 즐겁게 만드는 그의 유쾌함을 칭찬하기 위해 이 상을 수여합니다.","가족 유머 전문가 모임"
"항상 가족에게 따뜻한 차를 준비해주는 사람에게 상을 주고 싶어.","따뜻한 차 전도사상","이차","가족에게 따뜻한 차 한 잔을 준비하며 마음을 녹이는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","가족 힐링 음료 협회"
"항상 가족의 집안 청소를 맡아하는 사람에게 상을 주고 싶어.","청소 마스터상","청소왕","집안 곳곳을 깔끔하게 청소해 쾌적한 환경을 만들어주는 그의 노력과 섬세함을 칭찬하기 위해 이 상을 수여합니다.","가족 청소 협회"
"항상 가족의 재정을 관리하는 사람에게 상을 주고 싶어.","가족 재정 관리자상","박재정","가족의 재정을 철저히 관리해 안정적인 가정 생활을 유지하는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","가족 재정 전문가 협회"
"항상 가족에게 건강한 식단을 제공하는 사람에게 상을 주고 싶어.","건강식 요리왕상","이건강","가족에게 건강한 식단을 제공해 모두가 균형 잡힌 식사를 할 수 있도록 하는 그의 정성을 칭찬하기 위해 이 상을 수여합니다.","가족 건강식 전문가 협회"
"항상 가족의 작은 일에도 감사함을 표현하는 사람에게 상을 주고 싶어.","감사 표현왕상","최감사","가족의 사소한 일에도 감사함을 잊지 않고 표현하는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","가족 감사 협회"
"항상 가족의 취미 활동을 함께하는 사람에게 상을 주고 싶어.","취미 동반자상","이취미","가족의 취미 활동을 함께하며 소중한 시간을 보내는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","가족 취미 동반 모임"
"항상 가족의 사진을 찍어주는 사람에게 상을 주고 싶어.","사진사상","김사진","가족의 소중한 순간을 사진으로 남기며 추억을 기록하는 그의 눈썰미와 섬세함을 칭찬하기 위해 이 상을 수여합니다.","가족 사진 기록 협회"
"항상 가족의 신발을 정리하는 사람에게 상을 주고 싶어.","신발 정리왕상","박신발","가족의 신발을 항상 정돈하며 깔끔한 현관을 유지하는 그의 배려를 칭찬하기 위해 이 상을 수여합니다.","가족 정리정돈 전문가 협회"
"항상 가족의 반려동물을 돌보는 사람에게 상을 주고 싶어.","반려동물 지킴이상","최반려","가족의 반려동물을 사랑으로 돌보며 모두의 마음을 따뜻하게 하는 그의 애정을 칭찬하기 위해 이 상을 수여합니다.","가족 반려동물 사랑 모임"
"항상 가족에게 긍정적인 에너지를 주는 사람에게 상을 주고 싶어.","긍정 에너지 전달자상","이긍정","가족에게 긍정적인 에너지를 전하며 모두를 활기차게 만드는 그의 밝은 성격을 칭찬하기 위해 이 상을 수여합니다.","가족 긍정 에너지 협회"
"항상 가족의 추억을 소중히 여기는 사람에게 상을 주고 싶어.","추억 지킴이상","추억왕","가족의 소중한 순간을 기억하며 모든 추억을 간직하는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","가족 추억 보존 협회"
"항상 가족의 옷을 정리하는 사람에게 상을 주고 싶어.","옷 정리왕상","김정리","가족의 옷을 깔끔하게 정리해 공간을 효율적으로 사용하는 그의 꼼꼼함을 칭찬하기 위해 이 상을 수여합니다.","가족 옷 정리 전문가 모임"
"항상 가족의 취향을 존중하는 사람에게 상을 주고 싶어.","취향 존중왕상","박취향","가족의 다양한 취향을 존중하며 모두가 만족하는 가정을 만드는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","가족 취향 존중 협회"
"항상 가족과 함께 운동하는 사람에게 상을 주고 싶어.","운동 파트너상","최운동","가족과 함께 운동하며 건강하고 활기찬 생활을 만드는 그의 헌신을 칭찬하기 위해 이 상을 수여합니다.","가족 운동 협회"
"항상 가족의 집을 장식하는 사람에게 상을 주고 싶어.","집 장식왕상","김장식","가족의 집을 아름답게 꾸며 모두가 행복한 공간을 만드는 그의 예술적 감각을 칭찬하기 위해 이 상을 수여합니다.","가족 인테리어 전문가 협회"
"항상 가족의 갈등을 해결하는 사람에게 상을 주고 싶어.","갈등 해결자상","갈등왕","가족 간의 갈등을 원만하게 해결하며 모두가 화목하게 지낼 수 있도록 돕는 그의 지혜를 칭찬하기 위해 이 상을 수여합니다.","가족 화합 전문가 협회"
"항상 가족의 옷을 세탁하는 사람에게 상을 주고 싶어.","세탁 마스터상","이세탁","가족의 옷을 깔끔하게 세탁해 모두가 깨끗한 옷을 입을 수 있도록 하는 그의 정성을 칭찬하기 위해 이 상을 수여합니다.","가족 세탁 관리 협회"
"항상 가족에게 좋은 음악을 추천하는 사람에게 상을 주고 싶어.","음악 추천왕상","박음악","가족에게 좋은 음악을 추천하며 모두가 함께 즐거운 시간을 보내는 그의 음악 감각을 칭찬하기 위해 이 상을 수여합니다.","가족 음악 전문가 협회"
"항상 가족에게 새로운 놀이를 소개하는 사람에게 상을 주고 싶어.","놀이 혁신자상","이놀이","가족에게 새로운 놀이를 소개해 모두가 재미있게 시간을 보낼 수 있도록 하는 그의 창의력을 칭찬하기 위해 이 상을 수여합니다.","가족 놀이 기획팀"
"항상 가족의 잠자리를 챙기는 사람에게 상을 주고 싶어.","잠자리 지킴이상","최잠","가족의 편안한 잠자리를 위해 세심하게 신경 쓰는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","가족 수면 전문가 협회"
"항상 가족의 전기 요금을 절약하는 사람에게 상을 주고 싶어.","에너지 절약왕상","박절약","가족의 전기 요금을 절약하며 환경을 보호하고 경제적으로 생활하는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","가족 에너지 절약 모임"
"항상 가족의 재활용을 철저히 실천하는 사람에게 상을 주고 싶어.","재활용 지킴이상","김재활용","가족의 재활용을 철저히 실천하며 환경을 보호하는 그의 노력을 칭찬하기 위해 이 상을 수여합니다.","가족 환경 보호 협회"
"항상 가족의 요리를 돕는 사람에게 상을 주고 싶어.","요리 도우미상","박도움","가족의 요리를 항상 도와주며 모두가 함께하는 식사를 만드는 그의 협동심을 칭찬하기 위해 이 상을 수여합니다.","가족 요리 도우미 모임"
"항상 가족의 장을 보는 사람에게 상을 주고 싶어.","장보기 전문가상","장보기왕","가족을 위한 장을 항상 보며 필요한 모든 물품을 챙기는 그의 꼼꼼함을 칭찬하기 위해 이 상을 수여합니다.","가족 쇼핑 전문가 모임"
"항상 가족의 운동을 독려하는 사람에게 상을 주고 싶어.","운동 독려자상","이운동","가족의 건강을 위해 운동을 독려하며 모두의 활력을 돋우는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","가족 운동 장려 협회"
"항상 가족에게 칭찬을 아끼지 않는 사람에게 상을 주고 싶어.","칭찬 전도사상","최칭찬","가족에게 아낌없이 칭찬을 전하며 모두의 자존감을 높여주는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","가족 칭찬 전문가 모임"
"항상 가족의 학업을 응원하는 사람에게 상을 주고 싶어.","학업 응원자상","김응원","가족의 학업을 성실히 응원하며 모든 도전에 함께하는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","가족 학업 응원 모임"
"항상 가족의 옷을 세탁하는 사람에게 상을 주고 싶어.","세탁왕상","이세탁","가족의 옷을 깔끔하게 세탁해 모두가 편안한 옷을 입을 수 있도록 하는 그의 섬세함을 칭찬하기 위해 이 상을 수여합니다.","가족 세탁 전문가 모임"
