request,title,winner,description,publisher
"항상 가족의 음식물을 낭비하지 않는 사람에게 상을 주고 싶어.","음식 낭비 방지자상","박절약","가족의 음식물을 낭비하지 않으며 경제적이고 친환경적인 생활을 실천하는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","가족 환경 보호 협회"
"항상 학생들을 위해 최선을 다하는 교사에게 상을 주고 싶어.","열정 가득한 교사상","이선생","학생들의 성장을 위해 열정적으로 가르치는 그의 헌신을 칭찬하기 위해 이 상을 수여합니다.","교육 열정 협회"
"항상 환자들의 건강을 지켜주는 의사에게 상을 주고 싶어.","건강 지킴이상","김의사","환자들의 건강을 위해 최선을 다하며, 의료 현장에서 헌신하는 그의 노력을 칭찬하기 위해 이 상을 수여합니다.","의료 헌신 협회"
"항상 소방 현장에서 위험을 무릅쓰는 소방관에게 상을 주고 싶어.","영웅 소방관상","최소방","화재와 재난 현장에서 시민들을 구하기 위해 자신의 목숨을 걸고 일하는 그의 용기를 칭찬하기 위해 이 상을 수여합니다.","소방 영웅 협회"
"항상 공공 안전을 책임지는 경찰관에게 상을 주고 싶어.","공공 안전 수호자상","박경찰","시민들의 안전을 지키기 위해 불철주야 노력하며 봉사하는 그의 헌신을 칭찬하기 위해 이 상을 수여합니다.","공공 안전 관리 협회"
"항상 건설 현장에서 일하는 건축 노동자에게 상을 주고 싶어.","건설의 힘상","이건설","건설 현장에서 안전하고 견고한 건물을 짓기 위해 구슬땀을 흘리는 그의 노고를 칭찬하기 위해 이 상을 수여합니다.","건설 노동자 지원 협회"
"항상 새로운 기술을 개발하는 엔지니어에게 상을 주고 싶어.","기술 혁신자상","최기술","기술 개발을 통해 혁신을 이끌고 더 나은 세상을 만드는 그의 창의력을 칭찬하기 위해 이 상을 수여합니다.","기술 혁신 협회"
"항상 고객의 필요를 채워주는 판매원에게 상을 주고 싶어.","최고 판매원상","박판매","고객의 요구를 파악하고 성심성의껏 서비스를 제공하는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","판매 서비스 관리 협회"
"항상 도시를 깨끗하게 유지하는 환경미화원에게 상을 주고 싶어.","깨끗한 도시 지킴이상","김미화","도시의 청결을 유지하기 위해 이른 새벽부터 꾸준히 일하는 그의 노고를 칭찬하기 위해 이 상을 수여합니다.","환경미화 지원 협회"
"항상 창작에 몰두하는 작가에게 상을 주고 싶어.","창작의 불꽃상","이작가","창의적인 이야기와 생각으로 세상에 새로운 시각을 제공하는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","창작 예술가 협회"
"항상 농작물을 돌보는 농부에게 상을 주고 싶어.","땅의 영웅상","박농부","힘들고 고된 노동을 감수하며 땅에서 소중한 작물을 기르는 그의 노력을 칭찬하기 위해 이 상을 수여합니다.","농업 발전 협회"
"항상 음식을 준비하는 요리사에게 상을 주고 싶어.","요리의 예술가상","최셰프","맛있는 음식을 통해 사람들의 일상에 기쁨을 주는 그의 요리 실력을 칭찬하기 위해 이 상을 수여합니다.","요리 예술가 협회"
"항상 창조적인 광고를 만드는 광고기획자에게 상을 주고 싶어.","창의 광고 기획자상","김광고","창조적인 아이디어와 전략으로 고객의 눈길을 사로잡는 그의 창의성을 칭찬하기 위해 이 상을 수여합니다.","광고 기획 전문가 협회"
"항상 아이들의 꿈을 지지하는 어린이집 교사에게 상을 주고 싶어.","어린이 꿈 지킴이상","이교사","아이들의 꿈을 지지하고 사랑으로 보살피는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","어린이집 교사 협회"
"항상 상품을 안전하게 배달하는 택배 기사에게 상을 주고 싶어.","안전 배달왕상","최택배","고객의 상품을 안전하고 신속하게 배달하기 위해 하루도 쉬지 않고 노력하는 그의 성실함을 칭찬하기 위해 이 상을 수여합니다.","물류 배달 협회"
"항상 전자기기를 고치는 수리기사에게 상을 주고 싶어.","수리의 마법사상","박수리","고장난 기기를 다시 새것처럼 만들며 사람들의 불편을 해소해주는 그의 능력을 칭찬하기 위해 이 상을 수여합니다.","수리 전문가 협회"
"항상 신속하게 환자를 구조하는 구급대원에게 상을 주고 싶어.","응급 구조 영웅상","김구급","긴급 상황에서 환자를 구조하고 생명을 구하기 위해 헌신하는 그의 빠른 판단력을 칭찬하기 위해 이 상을 수여합니다.","구급대원 협회"
"항상 고객의 집을 청소해주는 가사도우미에게 상을 주고 싶어.","집안 청결 마스터상","최도우미","고객의 집을 말끔하게 청소해 편안한 환경을 제공하는 그의 꼼꼼함을 칭찬하기 위해 이 상을 수여합니다.","가사도우미 협회"
"항상 방송을 통해 정보를 전달하는 아나운서에게 상을 주고 싶어.","정보 전달자상","박아나운서","정확하고 신속하게 정보를 전달해 시청자의 신뢰를 얻는 그의 프로페셔널함을 칭찬하기 위해 이 상을 수여합니다.","방송 아나운서 협회"
"항상 국가를 지키는 군인에게 상을 주고 싶어.","국방의 수호자상","이군인","국가와 국민을 지키기 위해 헌신하며 군사 현장에서 용감하게 임무를 수행하는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","국방 헌신 협회"
"항상 자연을 연구하는 생물학자에게 상을 주고 싶어.","자연 탐구자상","박생물","생태계를 연구하고 자연의 비밀을 밝혀내는 그의 탐구 정신을 칭찬하기 위해 이 상을 수여합니다.","자연 연구 협회"
"항상 사람들의 법적 문제를 해결하는 변호사에게 상을 주고 싶어.","정의 수호자상","김변호사","정의를 위해 싸우며 사람들의 권리를 보호하는 그의 지혜와 용기를 칭찬하기 위해 이 상을 수여합니다.","법조계 정의 협회"
"항상 불법을 단속하는 세관 직원에게 상을 주고 싶어.","국경 수호자상","최세관","국경을 지키며 불법 물품을 차단하고 국가 경제를 보호하는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","세관 관리 협회"
"항상 우편물을 배달하는 우체부에게 상을 주고 싶어.","우편 배달왕상","이우체","날씨에 상관없이 우편물을 정확하고 신속하게 배달하는 그의 성실함을 칭찬하기 위해 이 상을 수여합니다.","우편 배달 전문가 협회"
"항상 연구에 몰두하는 과학자에게 상을 주고 싶어.","지식 탐구왕상","김과학","과학적 호기심과 열정으로 새로운 발견을 이끌어내는 그의 노력과 성과를 칭찬하기 위해 이 상을 수여합니다.","과학 탐구 협회"
"항상 환자들을 보살피는 간호사에게 상을 주고 싶어.","사랑의 간호사상","박간호","환자들에게 따뜻한 돌봄을 제공하며 그들의 회복을 위해 헌신하는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","간호 전문가 협회"
"항상 새로운 소프트웨어를 개발하는 개발자에게 상을 주고 싶어.","코드 마법사상","최개발","혁신적인 소프트웨어를 개발해 세상을 변화시키는 그의 뛰어난 개발 능력을 칭찬하기 위해 이 상을 수여합니다.","소프트웨어 개발 협회"
"항상 어린이의 교육을 책임지는 유치원 교사에게 상을 주고 싶어.","어린이 교육 지킴이상","이유치원","아이들의 첫 교육을 책임지며 그들의 성장을 돕는 그의 헌신을 칭찬하기 위해 이 상을 수여합니다.","유치원 교육 협회"
"항상 예술작품을 창작하는 화가에게 상을 주고 싶어.","창조의 화가상","박화가","색감과 창의력을 통해 세상에 감동을 주는 작품을 창작하는 그의 예술적 재능을 칭찬하기 위해 이 상을 수여합니다.","미술 창작 협회"
"항상 대중을 위한 공연을 기획하는 공연기획자에게 상을 주고 싶어.","공연 기획자상","이기획","대중을 위한 멋진 공연을 기획해 관객들에게 잊지 못할 경험을 선사하는 그의 기획력을 칭찬하기 위해 이 상을 수여합니다.","공연기획 전문가 협회"
"항상 비즈니스 성장을 이끄는 마케팅 전문가에게 상을 주고 싶어.","마케팅 마스터상","최마케팅","비즈니스 성장을 이끄는 마케팅 전략을 수립하며 탁월한 성과를 내는 그의 전문성을 칭찬하기 위해 이 상을 수여합니다.","마케팅 전문가 협회"
"항상 고객의 머리를 스타일링하는 헤어 디자이너에게 상을 주고 싶어.","헤어 스타일 마법사상","박헤어","고객의 머리를 아름답게 스타일링해 자신감을 불어넣는 그의 뛰어난 기술을 칭찬하기 위해 이 상을 수여합니다.","헤어 디자이너 협회"
"항상 건물을 관리하는 관리인에게 상을 주고 싶어.","건물 관리왕상","이관리","건물의 청결과 안전을 책임지며 항상 꼼꼼하게 관리하는 그의 노고를 칭찬하기 위해 이 상을 수여합니다.","건물 관리 협회"
"항상 사람들을 안전하게 운전해주는 버스 기사에게 상을 주고 싶어.","안전 운전왕상","최버스","승객을 안전하고 편안하게 목적지까지 운전해주는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","버스 운전기사 협회"
"항상 고장난 가구를 수리하는 목수에게 상을 주고 싶어.","목수 마스터상","김목수","정교한 기술로 고장난 가구를 수리하며 집안을 튼튼하게 만드는 그의 능력을 칭찬하기 위해 이 상을 수여합니다.","목공 전문가 협회"
"항상 도시의 공기를 맑게 해주는 정원사에게 상을 주고 싶어.","녹색 도시 지킴이상","박정원","도시의 나무와 꽃을 가꾸어 도시를 더욱 푸르게 만드는 그의 헌신을 칭찬하기 위해 이 상을 수여합니다.","정원사 협회"
"항상 창의적인 웹사이트를 디자인하는 웹디자이너에게 상을 주고 싶어.","웹 디자인 혁신자상","최디자이너","창의적이고 아름다운 웹사이트를 디자인해 사용자 경험을 향상시키는 그의 재능을 칭찬하기 위해 이 상을 수여합니다.","웹디자이너 협회"
"항상 화학 연구를 하는 화학자에게 상을 주고 싶어.","화학 혁신자상","김화학","새로운 화학 물질과 혁신적인 방법을 연구해 과학 발전에 기여하는 그의 연구 능력을 칭찬하기 위해 이 상을 수여합니다.","화학 연구 협회"
"항상 전통 문화를 지키는 전통 공예가에게 상을 주고 싶어.","전통 문화 수호자상","박공예","전통 공예를 보존하고 현대에 계승하며 문화 유산을 지키는 그의 노력과 열정을 칭찬하기 위해 이 상을 수여합니다.","전통 공예 협회"
"항상 사람들의 법적 문제를 중재하는 판사에게 상을 주고 싶어.","공정한 판사상","최판사","사회의 법과 정의를 공정하게 중재하며 사람들의 문제를 해결하는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","법원 판사 협회"
"항상 새로운 곡을 작곡하는 음악가에게 상을 주고 싶어.","음악 창작왕상","이작곡가","창의적인 곡을 만들어 사람들에게 감동을 주는 그의 음악적 재능을 칭찬하기 위해 이 상을 수여합니다.","음악 창작가 협회"
"항상 문학 작품을 번역하는 번역가에게 상을 주고 싶어.","문학 번역왕상","김번역","다양한 언어의 문학 작품을 번역해 새로운 문화를 소개하는 그의 노고를 칭찬하기 위해 이 상을 수여합니다.","번역가 협회"
"항상 경제 문제를 분석하는 경제학자에게 상을 주고 싶어.","경제 분석가상","박경제","복잡한 경제 문제를 분석해 사람들에게 통찰력을 제공하는 그의 지식과 노력을 칭찬하기 위해 이 상을 수여합니다.","경제 연구 협회"
"항상 범죄를 예방하는 형사에게 상을 주고 싶어.","범죄 예방자상","최형사","범죄 현장에서 사람들을 보호하고 정의를 수호하는 그의 용기를 칭찬하기 위해 이 상을 수여합니다.","형사 협회"
"항상 집안일을 돕는 자녀에게 상을 주고 싶어.","가사 도우미상","김지우","집안일을 솔선수범하며 가족을 도와주는 그의 배려심과 성실함을 칭찬하기 위해 이 상을 수여합니다.","가정 협력 위원회"
"항상 숙제를 성실하게 하는 자녀에게 상을 주고 싶어.","숙제 성실왕상","이민준","매일 숙제를 성실하게 완수하며 학습에 최선을 다하는 그의 노력과 집중력을 칭찬하기 위해 이 상을 수여합니다.","성실 학습 협회"
"항상 학교에서 모범을 보이는 자녀에게 상을 주고 싶어.","학교 모범생상","박서연","학교에서 규칙을 잘 지키고 친구들에게 좋은 본보기가 되는 그의 책임감을 칭찬하기 위해 이 상을 수여합니다.","학교 모범 협회"
"항상 친구를 잘 돕는 자녀에게 상을 주고 싶어.","친구 도우미상","최하린","친구들이 어려움을 겪을 때마다 항상 손을 내밀어 도와주는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","친구 돕기 협회"
"항상 건강하게 성장하는 자녀에게 상을 주고 싶어.","건강한 성장왕상","김도현","매일 건강한 식습관과 규칙적인 운동으로 멋지게 성장하고 있는 그의 의지를 칭찬하기 위해 이 상을 수여합니다.","건강 성장 협회"
"항상 가족과 시간을 잘 보내는 자녀에게 상을 주고 싶어.","가족 시간 지킴이상","이서현","가족과 함께하는 시간을 소중히 여기며 늘 함께 웃고 즐기는 그의 따뜻함을 칭찬하기 위해 이 상을 수여합니다.","가족 유대 강화 협회"
"항상 책을 많이 읽는 자녀에게 상을 주고 싶어.","책 읽기 왕상","박민지","다양한 책을 읽으며 지식을 넓히고 상상력을 키우는 그의 독서 열정을 칭찬하기 위해 이 상을 수여합니다.","독서 장려 협회"
"항상 예의 바른 행동을 하는 자녀에게 상을 주고 싶어.","예의 바른 아이상","정우진","어른들에게 공손하며 친구들과도 예의를 지키며 행동하는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","예의 바른 아이 협회"
"항상 새로운 것을 배우려는 자녀에게 상을 주고 싶어.","호기심 대장상","김유진","새로운 지식과 경험을 얻기 위해 항상 노력하고 도전하는 그의 호기심과 열정을 칭찬하기 위해 이 상을 수여합니다.","학습 호기심 협회"
"항상 운동을 열심히 하는 자녀에게 상을 주고 싶어.","운동왕상","이정민","운동장에서 최선을 다하며 건강한 몸과 마음을 키우는 그의 노력을 칭찬하기 위해 이 상을 수여합니다.","청소년 체육 협회"
"항상 가족을 웃게 만드는 자녀에게 상을 주고 싶어.","웃음 제조기상","최지호","가족에게 밝은 에너지를 주고 웃음을 선물하는 그의 긍정적인 태도를 칭찬하기 위해 이 상을 수여합니다.","가족 행복 협회"
"항상 동생을 잘 돌봐주는 자녀에게 상을 주고 싶어.","동생 돌봄상","박서준","동생을 친절하게 돌봐주고 좋은 본보기가 되어주는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","가족 돌봄 협회"
"항상 자신의 물건을 정리정돈하는 자녀에게 상을 주고 싶어.","정리정돈왕상","김나연","자신의 물건을 깔끔하게 정리하고 항상 청결을 유지하는 그의 철저함을 칭찬하기 위해 이 상을 수여합니다.","청결 습관 협회"
"항상 새로운 취미를 찾아 즐기는 자녀에게 상을 주고 싶어.","취미 탐험가상","이현서","다양한 취미를 통해 자신을 표현하고 즐거움을 찾는 그의 창의성을 칭찬하기 위해 이 상을 수여합니다.","청소년 취미 협회"
"항상 부모님을 잘 돕는 자녀에게 상을 주고 싶어.","부모님 도우미상","최예린","부모님을 자주 도와주며 가족을 위해 작은 일도 기꺼이 나서는 그의 효심을 칭찬하기 위해 이 상을 수여합니다.","가족 효심 협회"
"항상 자신감을 가지고 도전하는 자녀에게 상을 주고 싶어.","자신감 챔피언상","박지후","무엇이든 자신감을 가지고 도전하며 어려움 속에서도 포기하지 않는 그의 용기를 칭찬하기 위해 이 상을 수여합니다.","자신감 성장 협회"
"항상 환경을 생각하는 자녀에게 상을 주고 싶어.","환경 지킴이상","이준서","작은 일부터 환경을 보호하고 실천하는 그의 착한 마음을 칭찬하기 위해 이 상을 수여합니다.","환경 보호 협회"
"항상 꿈을 향해 열심히 노력하는 자녀에게 상을 주고 싶어.","꿈을 향해 달리는상","김수현","자신의 꿈을 이루기 위해 매일 최선을 다하며 노력을 아끼지 않는 그의 결단력을 칭찬하기 위해 이 상을 수여합니다.","꿈 응원 협회"
"항상 친구들과 사이좋게 지내는 자녀에게 상을 주고 싶어.","우정 지킴이상","최민혁","친구들과 항상 사이좋게 지내며 다툼 없이 화합을 이루는 그의 친절함을 칭찬하기 위해 이 상을 수여합니다.","청소년 우정 협회"
"항상 가족에게 좋은 영향을 주는 자녀에게 상을 주고 싶어.","가족의 빛상","정하은","가족 모두에게 긍정적인 에너지를 주고 서로를 더 아끼고 사랑하게 만드는 그의 아름다운 마음을 칭찬하기 위해 이 상을 수여합니다.","가족 행복 협회"
"항상 자신을 사랑하는 자녀에게 상을 주고 싶어.","자기 사랑왕상","김현우","자신을 소중히 여기고 긍정적인 자아상을 가지고 건강한 삶을 살아가는 그의 태도를 칭찬하기 위해 이 상을 수여합니다.","청소년 자기관리 협회"
"항상 창의적인 아이디어를 생각하는 자녀에게 상을 주고 싶어.","창의력 대장상","이주원","매일 창의적인 아이디어와 생각을 바탕으로 새로운 시도를 해나가는 그의 창조성을 칭찬하기 위해 이 상을 수여합니다.","창의력 개발 협회"
"항상 부모님 말씀을 잘 듣는 자녀에게 상을 주고 싶어.","부모님 말씀 지킴이상","박예은","부모님의 말씀을 잘 듣고 존중하며 올바르게 행동하는 그의 착한 마음을 칭찬하기 위해 이 상을 수여합니다.","가족 소통 협회"
"항상 학교 생활에 최선을 다하는 자녀에게 상을 주고 싶어.","학교 생활 우등생상","최유나","학교에서 친구들과 협력하며 학업과 다양한 활동에서 성실히 임하는 그의 노력을 칭찬하기 위해 이 상을 수여합니다.","학교 생활 장려 협회"
"항상 운동장에서 뛰어다니는 자녀에게 상을 주고 싶어.","에너지 폭발상","정태민","운동장에서 끊임없이 활동하며 건강한 에너지를 발산하는 그의 활기를 칭찬하기 위해 이 상을 수여합니다.","청소년 체력 증진 협회"
"항상 시간을 잘 지키는 자녀에게 상을 주고 싶어.","시간 지킴이상","이서준","약속 시간을 잘 지키고 시간을 소중히 여기는 그의 철저한 계획성과 책임감을 칭찬하기 위해 이 상을 수여합니다.","시간 관리 협회"
"항상 미소를 잃지 않는 자녀에게 상을 주고 싶어.","미소 천사상","김하린","힘든 순간에도 밝은 미소를 잃지 않으며 주위 사람들에게 긍정적인 영향을 주는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","청소년 긍정 에너지 협회"
"항상 새로운 기술을 배우려는 자녀에게 상을 주고 싶어.","기술 탐구자상","박지민","새로운 기술을 배우고 탐구하며 항상 발전을 꿈꾸는 그의 학구열을 칭찬하기 위해 이 상을 수여합니다.","청소년 기술 개발 협회"
"항상 가족을 배려하는 자녀에게 상을 주고 싶어.","가족 배려왕상","최민아","항상 가족을 배려하고 작은 행동 하나하나에도 따뜻한 마음을 담는 그의 착한 심성을 칭찬하기 위해 이 상을 수여합니다.","가족 배려 협회"
"항상 학교에서 선생님을 돕는 자녀에게 상을 주고 싶어.","선생님 도우미상","김지훈","학교에서 선생님을 자주 도와주며 주변 사람들에게 선한 영향을 미치는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","청소년 리더십 협회"
"항상 음악을 사랑하는 자녀에게 상을 주고 싶어.","음악 애호가상","이준호","음악을 통해 자신을 표현하고 감정을 나누며 예술을 사랑하는 그의 열정을 칭찬하기 위해 이 상을 수여합니다.","청소년 예술 협회"
"항상 친구를 도와주는 친구에게 상을 주고 싶어.","친구 도우미상","김지민","어려울 때마다 친구들에게 손을 내밀어 도와주는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","우정 도우미 협회"
"항상 친구들과 잘 어울리는 친구에게 상을 주고 싶어.","우정 만렙상","박서준","모두와 잘 어울리고 화합하며 친구들에게 긍정적인 영향을 주는 그의 사교성을 칭찬하기 위해 이 상을 수여합니다.","친구 사교성 협회"
"항상 친구에게 웃음을 주는 친구에게 상을 주고 싶어.","웃음 메이커상","이하린","언제나 주변 친구들에게 웃음을 선사하며 긍정적인 에너지를 퍼뜨리는 그의 밝음을 칭찬하기 위해 이 상을 수여합니다.","웃음 협회"
"항상 친구들의 비밀을 잘 지켜주는 친구에게 상을 주고 싶어.","비밀 지킴이상","최지훈","친구들의 비밀을 철저히 지키며 신뢰를 쌓아가는 그의 충성심을 칭찬하기 위해 이 상을 수여합니다.","친구 신뢰 협회"
"항상 친구의 생일을 기억하는 친구에게 상을 주고 싶어.","생일 챔피언상","정민지","친구들의 생일을 잊지 않고 챙기며 따뜻한 마음을 나누는 그의 세심함을 칭찬하기 위해 이 상을 수여합니다.","생일 기억 협회"
"항상 친구의 고민을 들어주는 친구에게 상을 주고 싶어.","경청의 달인상","김하준","친구들의 이야기를 들어주고 공감하며 진심 어린 조언을 아끼지 않는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","친구 경청 협회"
"항상 친구들과 모험을 즐기는 친구에게 상을 주고 싶어.","모험왕상","이서연","새로운 도전과 모험을 함께하며 친구들에게 용기를 불어넣는 그의 도전 정신을 칭찬하기 위해 이 상을 수여합니다.","모험 친구 협회"
"항상 친구에게 힘이 되어주는 친구에게 상을 주고 싶어.","우정의 기둥상","박준호","힘들 때마다 친구들에게 든든한 버팀목이 되어주는 그의 의리를 칭찬하기 위해 이 상을 수여합니다.","우정 의리 협회"
"항상 친구들과 함께 공부하는 친구에게 상을 주고 싶어.","공부 메이트상","최예린","친구들과 함께 학습하며 서로 도와주고 지식을 나누는 그의 협동심을 칭찬하기 위해 이 상을 수여합니다.","공부 협력 협회"
"항상 친구를 위해 요리를 해주는 친구에게 상을 주고 싶어.","요리사 친구상","정다현","맛있는 음식을 친구들과 나누며 정을 쌓는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","친구 요리 협회"
"항상 친구들에게 유용한 정보를 알려주는 친구에게 상을 주고 싶어.","정보왕상","김민재","유용한 정보를 찾아 친구들과 공유하며 모두에게 도움을 주는 그의 지혜를 칭찬하기 위해 이 상을 수여합니다.","정보 공유 협회"
"항상 친구들과 여행을 계획하는 친구에게 상을 주고 싶어.","여행 플래너상","이서준","친구들과의 여행을 꼼꼼하게 계획해 잊지 못할 추억을 만드는 그의 기획력을 칭찬하기 위해 이 상을 수여합니다.","친구 여행 협회"
"항상 친구를 위해 준비된 친구에게 상을 주고 싶어.","준비된 친구상","박유진","항상 친구들과의 모임에 필요한 것을 철저히 준비하며 배려하는 그의 꼼꼼함을 칭찬하기 위해 이 상을 수여합니다.","준비성 만렙 협회"
"항상 친구와 운동을 즐기는 친구에게 상을 주고 싶어.","운동 파트너상","최지성","친구와 함께 운동을 하며 서로의 건강을 챙기고 응원하는 그의 활력을 칭찬하기 위해 이 상을 수여합니다.","운동 친구 협회"
"항상 친구들에게 긍정적인 에너지를 주는 친구에게 상을 주고 싶어.","긍정 에너지상","이민주","어디서나 긍정적인 에너지를 발산해 친구들에게 기쁨과 힘을 주는 그의 밝음을 칭찬하기 위해 이 상을 수여합니다.","긍정 에너지 협회"
"항상 친구들과 영화나 드라마를 함께 보는 친구에게 상을 주고 싶어.","영상 매니아 친구상","김나연","친구들과 함께 영화나 드라마를 보며 감정을 나누고 즐거움을 더해주는 그의 문화적 열정을 칭찬하기 위해 이 상을 수여합니다.","영상 문화 협회"
"항상 친구의 패션을 챙겨주는 친구에게 상을 주고 싶어.","패션 코디네이터상","박지훈","친구들의 패션을 센스 있게 코디해주며 자신감을 북돋아주는 그의 센스를 칭찬하기 위해 이 상을 수여합니다.","패션 친구 협회"
"항상 친구들에게 공부를 가르쳐주는 친구에게 상을 주고 싶어.","공부 도우미상","정다인","친구들에게 학습을 도와주며 함께 성장해가는 그의 나눔 정신을 칭찬하기 위해 이 상을 수여합니다.","학습 지원 협회"
"항상 친구를 위해 시간을 내주는 친구에게 상을 주고 싶어.","시간 지킴이 친구상","김현수","바쁜 일정 속에서도 친구들과의 시간을 소중히 여기고 늘 함께 시간을 보내는 그의 충성심을 칭찬하기 위해 이 상을 수여합니다.","시간 관리 협회"
"항상 친구를 응원하는 친구에게 상을 주고 싶어.","응원왕상","이하은","친구의 꿈과 목표를 항상 응원하며 함께 기뻐하는 그의 따뜻한 마음을 칭찬하기 위해 이 상을 수여합니다.","응원 협회"
"항상 친구와 취미를 공유하는 친구에게 상을 주고 싶어.","취미 동반자상","박서현","함께 다양한 취미를 즐기며 서로의 취향을 존중하는 그의 배려심을 칭찬하기 위해 이 상을 수여합니다.","취미 동반자 협회"
"항상 친구들에게 용기를 주는 친구에게 상을 주고 싶어.","용기 부스터상","최지민","어려운 상황에서 친구들에게 용기와 힘을 북돋아주는 그의 긍정적인 힘을 칭찬하기 위해 이 상을 수여합니다.","용기 응원 협회"
"항상 친구들과 즐거운 추억을 만드는 친구에게 상을 주고 싶어.","추억 제조기상","김다인","친구들과 함께 잊지 못할 추억을 만들며 특별한 순간을 만들어가는 그의 창의성을 칭찬하기 위해 이 상을 수여합니다.","추억 창조 협회"
"항상 친구를 존중하는 친구에게 상을 주고 싶어.","존중의 친구상","이유진","모든 친구들을 평등하게 대하고 존중하며 소통하는 그의 성숙함을 칭찬하기 위해 이 상을 수여합니다.","친구 존중 협회"
"항상 친구들과 새로운 음식을 찾아다니는 친구에게 상을 주고 싶어.","맛집 탐방 친구상","최재민","친구들과 함께 새로운 맛집을 찾아다니며 색다른 미식 경험을 나누는 그의 미식 열정을 칭찬하기 위해 이 상을 수여합니다.","미식 탐방 협회"
"항상 친구와 이야기를 나누는 친구에게 상을 주고 싶어.","대화 메이트상","김윤지","깊은 대화를 통해 친구들과 소통하며 서로를 더 잘 이해하는 그의 소통 능력을 칭찬하기 위해 이 상을 수여합니다.","대화 소통 협회"
"항상 친구들에게 웃긴 이야기를 들려주는 친구에게 상을 주고 싶어.","유머 대장상","이준서","언제나 친구들에게 웃긴 이야기를 들려주며 분위기를 밝게 만드는 그의 유머 감각을 칭찬하기 위해 이 상을 수여합니다.","웃음 전파 협회"